Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΜΠΛΕ_021,021,053"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΝΕΟΝ ΠΟΡΤΟΚΑΛΙ_255,105,018,ΠΡΑΣΙΝΟ_000,179,087,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,ΠΑΡΑΛΛΑΓΗ (ARMY)_
,,,,,,,,,,,,,"ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΛΕΥΚΟ_239,239,239"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000"
,,,,,,,,,,,,,"ΜΠΛΕ_010,010,172,ΜΠΟΡΝΤΩ_131,027,043"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΕΝΤΑ_023,191,157"
,,,,,,,,,,,,,"ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΠΟΡΤΟΚΑΛΙ_255,105,018"
,,,,,,,,,,,,,"ΑΝ.ΜΠΛΕ_123,181,255,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΜΠΛΕ_010,010,172,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_235,040,048,ΜΕΝΤΑ_023,191,157"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΜΕΛΑΝΖΕ_207,207,207,ΜΠΛΕ_010,010,172"
,,,,,,,,,,,,,"ΡΟΥΑ_046,095,255,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΤΥΡΚΟΥΑΖ_000,225,246"
,,,,,,,,,,,,,"ΒΕΡΥΚΟΚΚΙ_255,138,087,ΝΕΟΝ ΛΑΧΑΝΙ_224,253,076"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΣΚΟΥΡΟ ΜΠΛΕ_0,0,140"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_255,0,0,ΡΟΥΑ_0,103,206"
,,,,,,,,,,,,,"ΛΕΥΚΟ_239,239,239,ΜΕΛΑΝΖΕ_207,207,207"
,,,,,,,,,,,,,"ΜΑΥΡΟ ΤΖΗΝ_47,47,47,ΜΠΛΕ ΤΖΗΝ_6,61,121"
,,,,,,,,,,,,,"ΑΝΘΡΑΚΙ_039,039,039,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΡΙΓΕ _021,021,053"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΡΟΔΑΚΙΝΙ_246,134,128"
,,,,,,,,,,,,,"ΒΑΤΟΜΟΥΡΟ_164,036,045,ΜΑΡΕΝ_021,021,053,ΜΠΕΖ_189,174,136"
,,,,,,,,,,,,,"ΒΑΤΟΜΟΥΡΟ_164,036,045,ΜΕΛΑΝΖΕ_207,207,207,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΧΑΚΙ_102,113,087"
,,,,,,,,,,,,,"ΓΚΡΙ_175,175,175,ΜΠΛΕ_28,28,255"
